periodo,ecommerce,marca,producto,precio.antes,precio.actual,pulgadas,rango,descuento
2017,falabella,samsung,"led 55"" 4k suhd curv...",10999,6999,55,"> S/.4,500",-0.363669424
2017,falabella,lg,oled 55'' 4k uhd web...,11999,6499,55,"> S/.4,500",-0.458371531
2017,falabella,sony,"led 55"" uhd android ...",5999,4499,55,"S/.3500 -
 S/.4500",-0.250041674
2017,falabella,sony,"led 55"" fhd smart tv...",3999,2499,55,"S/.1500 -
 S/.2500",-0.375093773
2017,falabella,samsung,"led 55"" fhd curvo sm...",3799,2599,55,"S/.2500 -
 S/.3500",-0.315872598
2017,falabella,lg,"led 55"" uhd webos 3 ...",4299,2899,55,"S/.2500 -
 S/.3500",-0.32565713
2017,falabella,samsung,"led 55"" suhd curvo s...",6999,5999,55,"> S/.4,500",-0.142877554
2017,falabella,sony,"led 55"" 4k uhd andro...",6999,3999,55,"S/.3500 -
 S/.4500",-0.428632662
2017,falabella,lg,"led 55"" suhd 3d smar...",5999,4999,55,"> S/.4,500",-0.166694449
2017,linio,lg,"televisor  led ultra hd smart tv 55"" un55ku6000 - samsung - negro - dise„<U+0091>o delgado y moderno",3299,2899,55,"S/.2500 -
 S/.3500",-0.121248863
2017,linio,lg,"televisor  led ultra hd smart tv 55"" un55ku6000 - samsung - negro - dise„<U+0091>o delgado y moderno",3999,2399,55,"S/.1500 -
 S/.2500",-0.400100025
2017,linio,sony,sony - tv led 3d wi-fi full hd 55‚¥‚¥ - kdl-55w955a,6000,3700,55,"S/.3500 -
 S/.4500",-0.383333333
2017,linio,samsung,"samsung - televisor led ultra hd curvo smart 55"" un55ku6500 ‚<U+0080><U+0093> gris",8039,6429,55,"> S/.4,500",-0.200273666
2017,linio,samsung,televisor curved - tv led smart ultra hd 55'' tizen un55ju6500 - samsung,3899,3220,55,"S/.2500 -
 S/.3500",-0.174147217
2017,linio,samsung,televisor smarttv  samsung un55ku6300g curve   55'',3899,2999,55,"S/.2500 -
 S/.3500",-0.230828418
2017,linio,lg,televisor lg led cinema 3d 4k smart ultra hd 55ub8500 55'' - negro,6879,5499,55,"> S/.4,500",-0.200610554
2017,linio,lg,"lg tv led curvo 55"" smart ultra hd 4k cinema 3d -†55uc9700",5899,5609,55,"> S/.4,500",-0.049160875
2017,linio,lg,tv led lg 55lh6000 smart tv webos 3.0 full hd 1080p - negro,3299,2199,55,"S/.1500 -
 S/.2500",-0.333434374
2017,linio,lg,tv led ultra hd 4k 55uh6230 smart tv webos 2.0 led 55'' - plateado - lg,NA,3999,55,"S/.3500 -
 S/.4500",NA
2017,linio,lg,"televisor smart tv full hd webos 3.0 led 55"" 55lh6000 - negro- lg",2900,2399,55,"S/.1500 -
 S/.2500",-0.172758621
2017,linio,lg,"lg - televisor led ultra hd 4k 55"" smart 55uh6500 ‚<U+0080><U+0093> gris",3999,2999,55,"S/.2500 -
 S/.3500",-0.250062516
2017,linio,lg,"lg - televisor led ultra hd 4k 55"" smart 55uh6230 ‚<U+0080><U+0093> gris",4199,3349,55,"S/.2500 -
 S/.3500",-0.20242915
2017,linio,sony,"sony - televisor led ultra hd 4k 55"" smart xbr-55x705d - gris",5689,4549,55,"> S/.4,500",-0.200386711
2017,linio,samsung,samsung - tv ultra hd 4k 55'' curve smart un55ku6300 - negro,3499,3049,55,"S/.2500 -
 S/.3500",-0.128608174
2017,linio,lg,"lg - televisor led 55"" cinema 3d 4k smart ultra hd 55ub8500 - gris",6899,3999,55,"S/.3500 -
 S/.4500",-0.420350775
2017,linio,sony,"televisor sony android tv ultra hd 4k smart 55"" triluminos motion flow xr960 xbr-55x855d",6000,5250,55,"> S/.4,500",-0.125
2017,linio,panasonic,televisor panasonic tvl led ultra hd 55''-negro,5399,3899,55,"S/.3500 -
 S/.4500",-0.277829228
2017,linio,samsung,"samsung - televisor led ultra hd smart 55"" un55ku6000 - negro",3299.99,2679,55,"S/.2500 -
 S/.3500",-0.188179358
2017,linio,lg,lg - tv led webos 3d smart full hd 55'' - 55lf6500,NA,3999,55,"S/.3500 -
 S/.4500",NA
2017,linio,samsung,samsung tv led smart ultra hd 55'' tizen un55ju6500 - negro,NA,3499,55,"S/.2500 -
 S/.3500",NA
2017,linio,samsung,samsung smart tv tizen full hd  55'' un55j5500 - negro,3999,2799,55,"S/.2500 -
 S/.3500",-0.300075019
2017,linio,samsung,"samsung - televisor led ultra hd smart 55"" un55ku6000 - negro",5349,4279,55,"S/.3500 -
 S/.4500",-0.20003739
2017,linio,samsung,televisor samsung un55j6500 curvo full hd smart 55''-plateado,NA,4449,55,"S/.3500 -
 S/.4500",NA
2017,linio,samsung,samsung tv led smart uhd 55'' - hu7200,NA,6499,55,"> S/.4,500",NA
2017,linio,lg,lg tv smart 3d smart full hd 55'' - 55lb6500,NA,3599,55,"S/.3500 -
 S/.4500",NA
