"ecommerce","marca","producto","precio.antes","precio.actual","pulgadas","rangos"
"linio","sony","sony tv led full hd 60'' smart tv - kdl-60w605b",6249,3979,60,"S/.3500 - S/.4500"
"linio","lg","lg tv led cinema 3d 4k smart ultra hd 55'' 55ub8500 - negro",5900,5089,55,"> S/.4,500"
"linio","lg","tv lg  42lf6450 led 42"" full hd cinema 3d wifi + 4 lentes 3d + magic motion + blu ray y dvd lg bp450 smart 3d full hd",NA,2299,42,"S/.1500 - S/.2500"
"linio","aoc","aoc - televisor led 32"" -le32h1352",899,719,32,"S/.500 - S/.1500"
"linio","lg","lg tv led cinema 3d full hd 42"" - 42lb6200",1999,1599,42,"S/.1500 - S/.2500"
"linio","lg","lg - televisor led 32"" hd smart tv 32lf585b - blanco",1399,1199,32,"S/.500 - S/.1500"
"linio","lg","lg - tv led webos 3d smart full hd 55'' - 55lf6500",3699,3265,55,"S/.2500 - S/.3500"
"linio","samsung","samsung tv led 3d smart 4k ultra hd 55'' series hu8500 un-55hu8500 - plateado",7699,6999,55,"> S/.4,500"
"linio","samsung","samsung tv led smart 3d full hd 55'' - un55h6400",3999,3049,55,"S/.2500 - S/.3500"
"linio","lg","lg - tv led webos 3d smart full hd 55'' - 55lf6500",3999,3269,55,"S/.2500 - S/.3500"
"linio","panasonic","televisor panasonic tv led full hd smart 50'' tc-50cs600l -negro",2699,2429,50,"S/.1500 - S/.2500"
"linio","lg","lg - tv led webos 3d smart ultra hd curvo  65'' 65ug8700 - plateado",NA,12999,65,"> S/.4,500"
"linio","lg","televisor lg 55la7900  55"" cinema 3d smart tv full hd trumotion 240 hz wifi dual core - negro",NA,5999,55,"> S/.4,500"
"linio","aoc","aoc tv led full hd 58"" le58f1552",2599,2149,58,"S/.1500 - S/.2500"
"linio","lg","televisiÛn lg 49ub8500 ultra hd smart 3d 49""ù-negro",3999,3719,49,"S/.3500 - S/.4500"
"linio","samsung","samsung tv curved 3d smart ultra hd 65'' tizen un65ju7500 - plateado",9999,7899,65,"> S/.4,500"
"linio","samsung","samsung tv smart full hd curvo 48'' tizen un48j6500",2999,2599,48,"S/.2500 - S/.3500"
"linio","aoc","aoc - televisor led 32"" - le32w454f",NA,799,32,"S/.500 - S/.1500"
"linio","panasonic","tv led panasonic tc-32as600l smart wifi bluetooth negro",1199,999,32,"S/.500 - S/.1500"
"linio","sony","sony - televisor led 32"" kdl-32r505c - negro",1399,1299,32,"S/.500 - S/.1500"
"linio","samsung","tv samsung ultra hd 4k smart tizen 40'' un40ju6000 - negro",1899,1689,40,"S/.1500 - S/.2500"
"linio","samsung","samsung - tv led smart curvo 3d ultra hd 65""ù un65hu9000 - gris",14999,12999,65,"> S/.4,500"
"linio","lg","tv led lg 49uf8500 webos 3d smart ultra hd 4k  negro/plateado",3499,2899,49,"S/.2500 - S/.3500"
"linio","samsung","samsung tv led curvo 4k ultra hd 3d 65""  - un65h9000-modelo 2015",14999,9999,65,"> S/.4,500"
"linio","sony","tv led sony kdl-32r305c hd 32"" color - negro",1199,945,32,"S/.500 - S/.1500"
"linio","lg","lg tv led cinema 3d smart full hd 42'' - 42lb7000",2599,1805,42,"S/.1500 - S/.2500"
"linio","samsung","samsung tv curve smart 4k ultra hd 65'' series hu7200 un-65hu7200 - negro",9499,8699,65,"> S/.4,500"
"linio","samsung","samsung tv led hd 32'' un32j4000ag - negro",999,839,32,"S/.500 - S/.1500"
"linio","samsung","samsung tv curved smart ultra hd 48'' tizen un48ju6700-negro",4499,3889,48,"S/.3500 - S/.4500"
"linio","samsung","samsung tv led smart 3d full hd 48'' - un48h6400agxpe",NA,2599,48,"S/.2500 - S/.3500"
"linio","lg","lg tv led cinema 3d 4k smart ultra hd 49'' + 02 lentes 3d - 49ub8500",3999,3389,49,"S/.2500 - S/.3500"
"linio","lg","lg tv led smart 55"" webos 2.0 55lf5950 -negro",2999,2499,55,"S/.1500 - S/.2500"
"linio","lg","lg tv led uhd 4k smart 3d - 55uf8500",5999,4079,55,"S/.3500 - S/.4500"
"linio","lg","lg -tv led hg 32"" - 32lf550b",999,929,32,"S/.500 - S/.1500"
"linio","lg","tv led lg 43lf5900 full hd smart webos 43"" -negro/plateado",1799,1419,43,"S/.500 - S/.1500"
