categoria;subcategoria;url;paginas
Infantil;Juegos de exterior;http://simple.ripley.com.pe/infantil/juegos-de-exterior/todo-juegos-de-exterior?page=6;6
Infantil;Marcas niñas;http://simple.ripley.com.pe/infantil/marcas-ninas?page=11;11
Infantil;Marcas niños;http://simple.ripley.com.pe/infantil/marcas-ninos?page=14;14
Infantil;Marcas bebés;http://simple.ripley.com.pe/infantil/marcas-bebes?page=11;11
Infantil;Moda infantil;http://simple.ripley.com.pe/infantil/moda-infantil/todo-moda-infantil;1
Infantil;Escolar;http://simple.ripley.com.pe/infantil/escolar?page=6;6
Infantil;Coleccionables;http://simple.ripley.com.pe/infantil/coleccionables/todo-coleccionables?page=5;5
Entretenimiento;Videojuegos;http://simple.ripley.com.pe/entretenimiento/videojuegos/todo-videojuegos?page=8;8
Entretenimiento;Fotografía;http://simple.ripley.com.pe/entretenimiento/fotografia/todo-fotografia?page=7;7
Entretenimiento;Instrumentos musicales;http://simple.ripley.com.pe/entretenimiento/instrumentos-musicales?page=4;4
Entretenimiento;Outdoor y juegos de exterior;http://simple.ripley.com.pe/entretenimiento/outdoor-y-juegos-de-exterior?page=25;25
Entretenimiento;Marcas;http://simple.ripley.com.pe/entretenimiento/marcas?page=16;16
Entretenimiento;Libros;http://simple.ripley.com.pe/entretenimiento/libros/ver-todo-libros?page=8;8
