"fecha","subcategoria","ecommerce","marca","producto","precio.antes","precio.actual"
"2017-09-13","Accesorios-Hombre","Falabella","Tissot","Reloj Hombre Resina ...","S/ 2,617","S/ 2,355.30"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Hombre PU10414...","S/ 739","S/ 517.30"
"2017-09-13","Accesorios-Hombre","Falabella","Toy Watch","Reloj Mujer MO10PS  ...","S/ 990","S/ 544.50"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Hombre PU10424...","S/ 799","S/ 559.30"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Hombre Resina ...",NA,"S/ 1,429"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Hombre Fossil ...","S/ 919","S/ 735.20"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Hombre Nylon V...",NA,"S/ 1,529"
"2017-09-13","Accesorios-Hombre","Falabella","Citizen","Reloj Mujer Acero Pl...","S/ 799","S/ 299"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Mujer Metal Pl...","S/ 285","S/ 256.50"
"2017-09-13","Accesorios-Hombre","Falabella","Timberland","Reloj para Hombre Ca...","S/ 849","S/ 764.10"
"2017-09-13","Accesorios-Hombre","Falabella","Festina","Reloj Hombre F16753/...","S/ 809","S/ 525.85"
"2017-09-13","Accesorios-Hombre","Falabella","Montblanc","Bolígrafo Esferógraf...",NA,"S/ 1,365"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Análogo","S/ 879","S/ 549"
"2017-09-13","Accesorios-Hombre","Falabella","Casio","Reloj Mujer BGA 190 ...","S/ 789","S/ 473.40"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Resina Mujer","S/ 409","S/ 204.50"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Hombre Análogo","S/ 799","S/ 499"
"2017-09-13","Accesorios-Hombre","Falabella","Casio","Reloj Hombre MTP E13...","S/ 379","S/ 303.20"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Mujer Metal Do...","S/ 285","S/ 256.50"
"2017-09-13","Accesorios-Hombre","Falabella","Toy Watch","Reloj Mujer ME06PS  ...","S/ 876","S/ 481.80"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Hombre Acero P...",NA,"S/ 949"
"2017-09-13","Accesorios-Hombre","Falabella","Timberland","Reloj Analógico Camp...","S/ 949","S/ 854.10"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Acero Do...","S/ 899","S/ 574.89"
"2017-09-13","Accesorios-Hombre","Falabella","Toy Watch","Reloj Mujer TTF05WH ...","S/ 990","S/ 544.50"
"2017-09-13","Accesorios-Hombre","Falabella","Tissot","Reloj Hombre Tela Ro...","S/ 1,591","S/ 1,431.90"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Mujer PU103001...","S/ 389","S/ 311.20"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Mochila para Caballe...","S/ 839","S/ 669"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Hombre Acero P...","S/ 1,109","S/ 887.20"
"2017-09-13","Accesorios-Hombre","Falabella","Mido","Reloj Hombre Acero ","S/ 4,615","S/ 4,153.50"
"2017-09-13","Accesorios-Hombre","Falabella","Armani","Reloj Hombre Acero N...","S/ 889","S/ 649"
"2017-09-13","Accesorios-Hombre","Falabella","Timberland","Reloj Analógico Nort...","S/ 999","S/ 899.10"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Hombre Cuero N...",NA,"S/ 2,249"
"2017-09-13","Accesorios-Hombre","Falabella","Certina","Reloj Mujer Acero ","S/ 2,048","S/ 1,843.20"
"2017-09-13","Accesorios-Hombre","Falabella","BMW","Reloj para Hombre Pl...","S/ 1,099","S/ 824.25"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Hombre de Cuar...","S/ 799","S/ 719.10"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Hombre Fossil ...","S/ 869","S/ 535.20"
"2017-09-13","Accesorios-Hombre","Falabella","Tommy Hilfiger","Reloj Hombre de Cuar...","S/ 699","S/ 489.30"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Hombre Fossil ...","S/ 1,099","S/ 727.20"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Hombre Fossil ...","S/ 809","S/ 647.20"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Hombre Multifu...","S/ 849","S/ 539"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Analógic...",NA,"S/ 299"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Hombre YVS416G","S/ 799","S/ 719.10"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Mujer Resina N...",NA,"S/ 629"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Hombre Guess W...","S/ 1,999","S/ 995.82"
"2017-09-13","Accesorios-Hombre","Falabella","Certina","Reloj Hombre Cuero M...","S/ 3,624","S/ 3,261.60"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Hombre Cuero M...",NA,"S/ 699"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Hombre Silicon...","S/ 1,229","S/ 983.20"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Mujer Metal Or...","S/ 429","S/ 199"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Análogo ...","S/ 979","S/ 619"
"2017-09-13","Accesorios-Hombre","Falabella","Casio","Reloj Unisex Digital...","S/ 129","S/ 49.90"
