"fecha","categoria","ecommerce","marca","producto","precio.antes","precio.actual","recojo.tienda","solo.online"
"2017-08-23","televisores","falabella","Genius","/falabella-pe/product/14799973/Mouse-Inalambrico-NX-7000-Negro?navAction=push","S/ 34.90","S/ 29.90","4",NA
"2017-08-23","televisores","falabella","Ddesign","/falabella-pe/product/880757707/Mochila-para-Notebook-15,6-16600-Gris?navAction=push","S/ 79","S/ 59","4",NA
"2017-08-23","televisores","falabella","Apple","/falabella-pe/product/15250564/iPad-Pro-Wifi-256-GB-Gris-Espacial?navAction=push",NA,"S/ 3,399",NA,NA
"2017-08-23","televisores","falabella","Toshiba","/falabella-pe/product/15003031/Disco-Duro-1TB-Canvio-Basica-3.0?navAction=push",NA,"S/ 249","4",NA
"2017-08-23","televisores","falabella","Skullcandy","/falabella-pe/product/15108147/Mochila-SKDY8019-MR-Student?navAction=push",NA,"S/ 249",NA,NA
"2017-08-23","televisores","falabella","Ddesign","/falabella-pe/product/880296714/Cable-HDMI-AM-AM-1.8M?navAction=push","S/ 24.90","S/ 15","4",NA
"2017-08-23","televisores","falabella","Acer","/falabella-pe/product/15660025/Notebook-14-2-en-1-Intel-Core-i7-8GB-256GB-SSD?navAction=push",NA,"S/ 5,099","4",NA
"2017-08-23","televisores","falabella","Genius","/falabella-pe/product/15165431/Mouse-Dx-110-Usb-optico-Blanco?navAction=push",NA,"S/ 19.90","4",NA
"2017-08-23","televisores","falabella","XYZPrinting","/falabella-pe/product/15810434/Cable-para-Impresora-Gris-DAVINCI-JR1.1?navAction=push",NA,"S/ 169",NA,NA
"2017-08-23","televisores","falabella","Advance","/falabella-pe/product/15673908/Tablet-7-TR4885-3G-Quad-Core-2-GB-8-GB-Celeste-+-Mochila?navAction=push",NA,"S/ 299","4",NA
"2017-08-23","televisores","falabella","Epson","/falabella-pe/product/14783117/Tinta-Negro-T296120-AL-Xpression?navAction=push",NA,"S/ 17.94","4",NA
"2017-08-23","televisores","falabella","Case Logic","/falabella-pe/product/13686655/Funda-para-Tablets-TS-108-de-7-y-8-?navAction=push",NA,"S/ 29.90","4",NA
"2017-08-23","televisores","falabella","Roccat","/falabella-pe/product/15817153/Teclado-Isku-FX-Negro?navAction=push",NA,"S/ 394.90",NA,NA
"2017-08-23","televisores","falabella","Skill","/falabella-pe/product/14920024/Pad-Mouse-Descansador-Negro?navAction=push",NA,"S/ 12.90","4",NA
"2017-08-23","televisores","falabella","Genius","/falabella-pe/product/15165408/Mouse-Dx-110-Usb-Optico-Azul?navAction=push",NA,"S/ 19.90","4",NA
"2017-08-23","televisores","falabella","Canon","/falabella-pe/product/15136320/Impresora-Multifuncional-MG-3010-Wifi?navAction=push",NA,"S/ 259","4",NA
"2017-08-23","televisores","falabella","Epson","/falabella-pe/product/13614185/Cartucho-de-Tinta-T195120-Negro?navAction=push",NA,"S/ 24.90","4",NA
"2017-08-23","televisores","falabella","LG","/falabella-pe/product/15774369/Monitor-LED-32-Full-HD-IPS-32MP58HQ?navAction=push",NA,"S/ 1,249",NA,NA
"2017-08-23","televisores","falabella","Kingston","/falabella-pe/product/15190409/Mouse-Pad-HyperX-Fury-Gamer-Medium-Negro?navAction=push",NA,"S/ 69",NA,NA
"2017-08-23","televisores","falabella","Logitech","/falabella-pe/product/14699062/Mouse-Inalambrico-M317-Negro?navAction=push",NA,"S/ 99","4",NA
"2017-08-23","televisores","falabella","Skullcandy","/falabella-pe/product/15108142/Mochila-SKDY1163-BLCK3-Negro?navAction=push",NA,"S/ 169.90",NA,NA
"2017-08-23","televisores","falabella","Roccat","/falabella-pe/product/15817149/Teclado-Ryos-MK-Pro-Rojo?navAction=push",NA,"S/ 549.90",NA,NA
"2017-08-23","televisores","falabella","WTF","/falabella-pe/product/15759503/Smart-Sticker-Negro-COL-01?navAction=push","S/ 39.90","S/ 24.90",NA,NA
"2017-08-23","televisores","falabella","Microsoft","/falabella-pe/product/15724430/Programa-Office-Home-and-Student-2016?navAction=push",NA,"S/ 389","4",NA
"2017-08-23","televisores","falabella","Lenovo","/falabella-pe/product/15108495/Tablet-6,4-Phab-2-Pro-4-GB-64-GB-8MP-16-MP-Dorado?navAction=push","S/ 1,899","S/ 1,799","4",NA
"2017-08-23","televisores","falabella","WTF","/falabella-pe/product/15759507/Smart-Sticker-Square-ART-01?navAction=push","S/ 39.90","S/ 24.90",NA,NA
"2017-08-23","televisores","falabella","Targus","/falabella-pe/product/14828218/Mochila-Porta-Laptop-15,6-TSB226LA-Negro?navAction=push",NA,"S/ 149","4",NA
"2017-08-23","televisores","falabella","TP-Link","/falabella-pe/product/15810153/Adaptador-USB-Inalambrico-de-Alta-Potencia-300Mbps?navAction=push",NA,"S/ 109",NA,NA
"2017-08-23","televisores","falabella","Butrich","/falabella-pe/product/15161210/Skin-Rosado-14p?navAction=push",NA,"S/ 79",NA,NA
"2017-08-23","televisores","falabella","Magix","/falabella-pe/product/15810427/Lapicero-3D-MAGIX-KIDS?navAction=push",NA,"S/ 249",NA,NA
